name,category,location,url,creation_date,employee_number,turnover,presentation
La Javaness,"Intelligence artificielle / Machine Learning, Logiciels",Paris,"
      
        
      
    lajavaness.com",2015,40,30 ans,"La Javaness est un accélérateur numérique spécialisé en Intelligence Artificielle.Notre mission est d’accélérer l’innovation numérique et l’adoption de l’intelligence artificielle des entreprises de toutes tailles : La Javaness aide les grands groupes à accélérer leur transformation digitale.Elle construit et commercialise des produits technologiques B to B (Intelligence Artificielle, Fabrique d'Applications, Plateforme Collaborative d'Optimisation d'Expérience Utilisateur, Blockchain,...) au sein de son startup studioEnfin, elle accompagne des start-ups positionnées sur des technologies de rupture avec un programme d’accélération sur mesure.La Javaness recherche des personnalités passionnées par le digital avec un esprit ouvert et une curiosité d’enfant, et qui souhaitent être parties prenantes de la transition numérique. Si vous recherchez des projets dont la teneur façonnera le monde digital de demain, vous êtes notre type de profil. L’autonomie et l’esprit d’équipe sont des must have ! A La Javaness il y a au moins deux moments forts qui rythment la vie de l’équipe : Les repas de midi, que ce soit dans un des restos du quartier ou dans les locaux, c’est une institution. Les adeptes vont généralement au San José pour déguster une tournée générale de cafés Le drink mensuel qui réunit toute l’équipe pour des ateliers teambuilding, retours d’expériences et une soirée sympa."
Groupe SeLoger ,"Application mobile, Immobilier particulier",Paris,"
      
        
      
    recrutement.seloger.com",1992,450,35 ans,"SeLoger est l’acteur qui accompagne et coache les Français tout au long de leurs projets immobiliers et à chacun de leurs mouvements de vie. De l’avant-projet à l’emménagement, SeLoger est, depuis plus de 25 ans, aux côtés des Français. Trouver le meilleur financement (SeLoger Finances), estimer la valeur de son bien (LaCoteImmo), organiser son déménagement, changer de fournisseur d’accès internet, d’énergie, d’assurances, trouver le bon prestataire pour les travaux (SeLoger Services), sont autant de solutions proposées pour accompagner chacun sur tous les aspects de son parcours et sur tous les projets (SeLoger Neuf, SeLoger Construire, Belles Demeures, SeLoger Vacances). Avec 30 millions de visites par mois, sur tous les supports, SeLoger est la marque préférée des Français pour se repérer et se lancer dans le monde de l’immobilier.Rejoindre SeLoger, c’est intégrer un groupe en croissance, avec de réels moyens et des sites internet reconnus, soutenu par le groupe média Axel Springer. Cela permet de travailler sur des projets innovants et ouvre des opportunités en France comme à l’international.Combativité, innovation, agilité et respect de l’autre sont les valeurs sur lesquelles l’entreprise s’est construite depuis plus de 25 ans.Rejoindre SeLoger, c’est pousser les portes d’une grande maison de + 6 000 m². Chaque étage met en valeur une pièce typique de la maison, un espace de vie dans lequel chacun trouve aisément sa place.Ici pas de profils types mais une richesse de collaborateurs de 20 à 68 ans de tout horizon avec de fortes compétences digitales. Chacun vit avec passion et enthousiasme l’expérience collaborateur SeLoger. Une aventure épanouissante et inspirante portée par une culture d’entreprise où il fait bon vivre, où les valeurs sont fortes, où les talents se développent, où les temps conviviaux se partagent et où les individualités s’expriment.SeLoger recrute principalement pour des postes de Développeurs, Data, UX, Chef de produit, commerciaux.Un parcours d’intégration personnalisé pour prendre vos marques rapidementDes formations sur-mesure et une coach commerciale en interne pour développer vos compétences Livraison de fruits bio 2 fois par semaine pour manger sain et équilibréLes dernières consoles de jeux pour faire un breakUn esprit start-upUne météo interne « Bloom At Work » qui mesure le climat au sein de nos équipes. Des ateliers de réflexion et de partage sont animés suite aux résultats pour améliorer le bien-être au quotidienDes locaux rénovés en plein cœur du 18ème et une grande terrasse en bois avec vue sur le Sacré Cœur pour travailler au soleil ou fêter les succèsDes soirées d’entreprise organisées dans les endroits les plus magiques de Paris pour prendre du bon tempsUne équipe de foot et une équipe running SeLoger"
Fortuneo,"Application mobile, Banque","Paris - La Défense, Brest","
      
        
      
    www.fortuneo.fr",2000,"
      
        
          
        
      
    75 %",,"Collaborateurs FortuneoCollaborateurs Crédit Mutuel ArkeaPNB FortuneoPNB Crédit Mutuel ArkeaFortuneo est une banque mobile fondée en 2000, filiale du Crédit Mutuel Arkéa depuis 2007 et aujourd’hui présente dans 4 pays. Sa mission ? Faire aimer la banque ! Comment ? En couvrant les besoins essentiels de ses clients sur les métiers de la banque, de la finance et de l’assurance selon trois principes : conserver sa compétitivité tarifaire, maintenir sa performance en termes d’offre et de services, et garder son excellente qualité relationnelle tant humaine que digitale. Une stratégie qui marche puisqu’aujourd’hui 9 clients sur 10 recommandent Fortuneo et sa croissance affiche deux chiffres depuis plusieurs années !Fortuneo recrute des collaborateurs passionnés, curieux et experts sur leur cœur de métier. La taille humaine de sa structure lui permet de leur confier rapidement des responsabilités et des missions à forte valeur ajoutée. Un maître mot ici, le plaisir de travailler et d’être acteur du développement de l’entreprise. 1-	N°1 du classement indépendant Bankin des meilleures banques 2016. 
2-	Marché porteur présentant une croissante de plus de 10% par an
3-	Un modèle de croissance rentable et durable
4-	La bienveillance est un must have. Parole libre, aide aux collègues… sont autant de principes appliqués au quotidien. 
5-	Innovante par essence, Fortuneo est en perpétuelle recherche de nouveaux services, produits, processus… pour satisfaire encore mieux ses clients, ses collaborateurs et s’améliorer toujours !
6-	Présente sur plusieurs sites en France et implantée à l’international, la diversité est ancrée chez Fortuneo."
AXYS Consultants,"Digital Marketing / Data Marketing, Stratégie, Transformation",Levallois-Perret,"
      
        
      
    www.axys-consultants.com",1987,195,32 ans,"AXYS Consultants est un cabinet de conseil en Management, expert en transformation digitale. AXYS Consultants accompagne les grandes entreprises dans leur transformation au service de la performance, principalement sur les domaines des Achats, de la Finance et du Digital Marketing et Commerce.Convaincue de l’importance de la conduite du changement et de l’usage de la donnée dans l’entreprise, AXYS Consultants dispose également de deux BU transverses Change et Data. AXYS Consultants intervient auprès de grandes entreprises, en France et à
l’international, dans des secteurs d’activités variés.L’ADN d’Axys est né en 1987 avec moins de 10 consultants et se poursuit aujourd’hui à près de 200. Rejoindre Axys :C’est profiter de projets d’envergure dans de grands Groupes avec une envie d’innovation permanente.C’est développer une relation de partenariat avec nos clients basée sur l’exemplarité, l’engagement, la culture du résultat mais aussi l’empathie.C’est vivre une expérience professionnelle basée sur la diversité. Axys Consultants assume le décloisonnement des compétences et la mobilité interne.C’est développer ses compétences, grâce à l’Université Axys et aux parcours certifiants auprès des grandes écoles.C’est bénéficier d’un management de proximité, source de stimulation, de reconnaissance, de montée en connaissance et d’évolution de carrière.C’est profiter d’un esprit entrepreneurial et contribuer activement au développementdu cabinet quel que soit son grade, au travers des practices.Etre un AXYSien au final, c’est être à la recherche de la performance, être porté par le travail en équipe, être animé par l’innovation et la créativité, apprécier particulièrement la diversité et avoir un tempérament entrepreneur.AXYS Consultants c’est un esprit de partage permanent, sans être intrusif :
Les journées de communication trimestrielles regroupant tous les collaborateurs et les expressos bimestriels permettant à une dizaine de collaborateurs de tous grades d’échanger à bâtons rompus avec la Direction Générale.Les événements permettant de sceller l’intégration des nouveaux consultants et les séminaires managers fédérant la ligne managériale autour de plan d’actions de développement du cabinet.La soirée annuelle et le Week-End Axys ouverts à tous les collaborateurs, ainsi que les initiatives du terrain telles que l’organisation d’événements sportifs accessibles aux débutants comme aux experts !Et comme AXYS Consultants a le souci de l’intégration réussie, vous disposez d’un parrain (ou d’une marraine) pour vous accompagner sur votre première année en tant Axysien !"
ODW,"Digital, Marketing / Communication, Média, Publicité",Paris,"
      
        
      
    www.odw.fr",2012,15,27 ans,"ODW est une agence digitale indépendante parisienne fondée par Alexandre Vernier et Andréas Georgiou en 2012. Elle accompagne les marques sur leurs problématiques digitales et d'activations. L'équipe cosmopolite de l'agence permet de fournir à ses clients des solutions pour leurs projets internationaux. L'agence dispose également d'un pôle Entertainment et accompagne plus de 20 artistes et personnalités publiques dans la gestion de leur image comme Jamel Debbouze ou Malik Bentalha. Elle travaille également avec des grandes chaines TV comme TF1, Canal + ou M6. Chez ODW, ils recherchent des collaborateurs ayant une bonne culture du monde digital et sachant faire preuve d’initiative et d’autonomie. L’esprit d’équipe, l’organisation et la créativité sont indispensables. Ils sont ouverts à tous les profils, peu importe le domaine d’études. Pour être recruté, voici 2 critères bonus : 
1. Aimer le monde du spectacle
2. Avoir un petit niveau en ping pong"
Change Factory,"Formation, Organisation / Management, Ressources humaines",Paris,"
      
        
      
    www.changefactory.fr",2012,17,32 ans,"Change Factory (anciennement 231e47), cofondée par Jean-Noël Chaintreuil et Florent Steyaert en 2013 (rejoints par Loïc Perrin en 2017).Ce laboratoire d’acculturation s’est fixé comme mission d’accompagner les Grands Groupes sur le chemin de la transformation culturelle en imaginant, en construisant et en déployant des dispositifs et des expériences pédagogiques permettant d’injecter et de valoriser l’innovation dans la culture de l’entreprise. Change Factory aide ses clients à changer d’état d’esprit et les façons de travailler en leur donnant les clés pour mieux imaginer le futur de leurs métiers.
L’expérimentation et l’acculturation constituent l’ADN de cette entreprise, à l’image de la Factory d’Andy Warhol, qui permettait à des univers et des identités artistiques de s’exprimer et de cohabiter pour créer une œuvre commune. Depuis 2013, Change Factory accompagne de grands groupes (LVMH, Engie, Faurecia, Valeo, BNP Paribas, Pierre Fabre, Guerlain, Orange, Petit Bateau…) et plus spécifiquement des entreprises du CAC40 dans la construction et le déploiement de programmes et dispositifs de transformations culturelles sur différents continents avec une approche pragmatique de l’innovation basée sur l’expérimentation.Change Factory met tout en œuvre pour permettre aux talents de s’exprimer pleinement et de s’épanouir au travers de projets de transformation culturelle. 
Évoluer au sein des équipes de Change Factory, c’est faire le choix de la curiosité, de l’apprentissage perpétuel, de l’expérimentation et du brassage culturel.Ils recherchent des personnes passionnées et passionnantes pour enrichir leurs équipes afin de continuer à accompagner leurs clients avec toujours plus d’audace et de fraîcheur. Change Factory cherche à expérimenter le « Future of Work » au quotidien en donnant la possibilité à chacun d’évoluer dans un environnement de travail stimulant l’épanouissement personnel et la créativité. Ils sont situés à Paris (à Wework Lafayette), à Toulouse (#TeamChocolatine) et depuis début 2018, à Singapour. 
Si les Skype sur plusieurs fuseaux horaires ne te font pas peur, que tu maîtrises l’art du GIF sur Slack, que tu aimes le brassage culturel et découvrir de nouveaux spots déjeuner autour du 9ème arrondissement, tu as déjà quelques qualités très appréciées par l’équipe. "
SOSav,"E-commerce, Environnement / Développement durable, IT / Digital",Lognes,"
      
        
      
    www.sosav.fr",2011,20,28 ans,"SOSav a pour mission d’offrir la possibilité aux européens de réparer eux-mêmes ou de faire réparer leurs appareils high-tech cassés ou tombés en panne (smartphones, tablettes, consoles de jeux...).Notre mission s’articule autour de 2 marques :SOSav : SOSAV est le 1er service Internet en Europe qui offre la possibilité de réparer soi-même son matériel high tech, simplement et surtout 3x moins cher que chez un prestataire. Au delà de la simplicité et de l’avantage financier, nous nous inscrivons dans une tendance lourde d’éco-responsabilité donnant une 2ème vie aux produits.Captain Repair : Avec plus de 300 réparateurs, Captain Repair est le 1er réseau de réparateurs de matériel high-tech en France. Captain Repair permet aux internautes de demander une réparation en seulement 3 clics. Un Captain Repair se déplace ensuite où l’internaute le souhaite (maison, bureau, café, restaurant...) et quand il le souhaite afin de réparer son appareil cassé ou tombé en panne. SOSav cherche des talents désireux de vivre une aventure unique et conviviale dans le secteur de la réparation et du développement durable.Peu importe le parcours, nous cherchons des SOSavers motivés et volontaires inculquant parfaitement les valeurs de l’entreprise : Respect, Ecoute & Fiabilité.Vous n’avez jamais compris pourquoi on jetait sans essayer de réparer ? Vous êtes ambitieux, volontaire et entrepreneur ? Vous aimez que vos succès soient reconnus ? Vous rêvez d’avoir un job avec un impact environnemental positif ? Vous aimez l’esprit startup et rêvez de travailler pour une société innovante ?Des fruits frais et gâteaux (pour les plus gourmands) à dispositionUne cuisine équipée pour jouer à Top ChefTournoi de baby-foot, Fifa et Mario Kart quotidienUn événement mensuel : Repas d’équipe dans un resto du coin. Un moment convivial donnant l’occasion d’échanger sur tout et (surtout) rien :wink:Un team-building annuel au vert sur un week-end prolongé, au programme : piscine, sauna, paintball, escape game... entremêlés d’apéros :wink:La possibilité de faire du télétravail selon ton pôleSmartphones derniers cris à dispositionMutuelle de qualitéAmbiance jeune (-30ans de moyenne d’âge !)"
onepoint,"Organisation / Management, Stratégie, Transformation","Paris, Bertrange, Bordeaux, Nantes, Toulouse","
      
        
      
    www.groupeonepoint.com",2002,2000,,"onepoint est un créateur de solutions de transformation numérique pour les entreprises et les administrations, qui accompagne ses clients de la vision stratégique à l’exécution technologique.Reposant sur une organisation et un écosystème ouverts, onepoint développe un modèle entrepreneurial innovant qui permet de révéler les talents et de libérer la créativité.Chez onepoint, ils recherchent des talents engagés, prêts à partager leur expertise dans des collectifs ouverts, et qui n'ont pas peur de prendre des initiatives. Mais aussi capables de se remettre en question.Au coeur des relations chez onepoint se trouvent l'authenticité et la volonté de toujours tendre vers l'excellence pour leurs clients : c'est ce qu'ils attendent de leurs futurs collègues. Avoir une âme de Peter PanAimer transpirerNe pas avoir peur de se faire scanner en 3DAssumer ses 2 viennoiseries du matin au bureau"
Glovo,"Application mobile, E-commerce","Paris, Bordeaux, Lille, Lyon, Marseille, Montpellier, Nantes, Nice, Reims, Rennes, Strasbourg, Toulouse","
      
        
      
    www.glovoapp.com",2014,12,25 ans,"Fondée à Barcelone en 2015, Glovo est une application de livraison à la demande qui permet aux utilisateurs de se faire livrer n'importe quel restaurant ou boutique de leur ville en 30 minutes.Le projet est né avec l’objectif de révolutionner la manière dont les utilisateurs accèdent aux produits du quotidien.  L’application connecte les utilisateurs avec des « Glovers », qui sillonnent les villes à vélo.	Depuis sa création à Barcelone en 2015, Glovo est devenu un acteur incontournable de la livraison à la demande. En un an, Glovo s'est déjà lancé dans plus de 20 villes en Europe et en Amérique Latine, dont Barcelone, Rio de Janeiro, Santiago, Milan, Lisbonne et Paris. Rejoindre Glovo, c’est participer au développement d’une startup qui livre des pots de Nutella, des bières, des bouquets de fleurs, des clés oubliées, des pizzas ou encore des maillots de foot dans plus de 30 villes dans le monde !On recherche des personnes qui, comme nous, croient que tout le monde devrait avoir un accès immédiat à tout ce qui se fait de mieux dans sa ville. Des personnes curieuses, autonomes, enthousiastes, rigoureuses et qui n’ont pas peur de sortir de leur zone de confort !Travailler chez Glovo, c’est aussi des déj' d'équipe chez nos meilleurs partenaires, des accès à toutes les salles de sport de France, des crédits Glovo tous les mois, et les fameux week-ends d'équipe une fois par trimestre (roadtrip en Italie, journée en catamaran ou encore week-end à Barcelone) !"
OYEZ,"E-commerce, IT / Digital","Paris, Tunis","
      
        
      
    www.oyez.fr",2006,63,28 ans,"Oyez est un entreprise experte dans les domaines des retailtech (technologies au service du commerce) et du marketing omnicanal et accompagne les marques et distributeurs depuis 11 ans, dans la révolution technologique du commerce et de la relation client.Avec un pôle technologique, un pôle conseil et un pôle UX/UI, nous mettons en œuvre les solutions innovantes et créatives dont les marques et distributeurs ont besoin pour accélérer la transformation digitale de leurs modèles de business sur le mobile, le web et dans les magasins.Oyez compte 63 collaborateurs répartis entre son siège parisien et sa filiale à Tunis.Oyez compte notamment parmi ses clients : CARREFOUR, MONOPRIX, DARTY, MAISON DU MONDE, CELINE, BOUCHERON, HARMONY MUTUELLE, E.LECLERC, BMW…Des collaborateurs(trices) autonomes, curieux(ses), enthousiastes, bienveillants(es) ; qui aiment résoudre les problèmes et trouver des solutions ; qui aiment innover et prendre des risques ; qui gardent en toutes occasions un esprit positif et de la bonne humeur.C’est encore mieux si vous :Êtes musiciensAdorez le ping-pongAimez les afterworksSavez à quoi sert un capteur 16 000 DPI sur une souris"
Wavy,"Application mobile, Art de vivre, Logiciels","Paris, Bordeaux, Brest, Caen, Clermont Ferrand, Le Havre, Lille, Lyon, Marseille, Montpellier, Nantes, Nice, Quimper, Rennes, Rouen, Strasbourg, Toulouse","
      
        
      
    wavy.co",2016,45,29 ans,"C’est la startup, qui permet aux entrepreneurs du secteur de la coiffure 💇🏻‍de gérer leur établissement et leur communication, grâce à une application de caisse simple et certifiée NF525.L'équipe Wavy réenchante🦄 et digitalise le quotidien des gérants d'établissement ainsi que l'expérience de leurs clients.Passant de 0 à 3000 en 18 mois 📈, c'est aujourd'hui plus de 300 clients qui choisissent Wavy chaque mois. L’offre de gestion, via une application native, présente des fonctionnalités telles que le planning, le fichier client et la gestion des stocks. L’offre communication propose des solutions digitales, comme la création d’un site Web personnalisé, la réservation en ligne et la publication de posts Facebook.Passionné ❤️ ?Un peu fou 🤪 ?Avec un parcours atypique 👽 ?Enfin, tu voues un culte à la licorne 🦄 Wavy wants you !La #wavyfamily a des choses à offrir tous les jours (ou presque) ! 
1. Lundi pizza 🍕
2. Mardi yoga🧘🏻‍♀️
3. Jeudi afterwork🍻
4. Tous les jours la bonne humeur 😁"
DRIVE INNOVATION INSIGHTS,"Evénementiel, Publicité, Transformation","Paris, Bruxelles","
      
        
      
    www.dii.eu",1993,40,32 ans,"Leader de l’information professionnelle pour les décideurs européens, DII, créé en 1993, est une filiale de POLITICO/Axel Springer depuis janvier 2015. Expérimenté, indépendant et visionnaire (INNOVATION), DII renforce son positionnement comme accélérateur de réflexions (DRIVE) et d’échanges à forte valeur ajoutée (INSIGHTS) à l’occasion de ses 25 ans en 2018Avec une expertise reconnue de concepteur d’événements d’actualité, DII, acteur complet de l’information des décideurs européens, décrypte les pratiques B2B innovantes d’aujourd’hui pour révéler les tendances de demain.Salué pour sa grande compétence éditoriale, DII est un opérateur de contenus professionnels sous sa propre marque et pour le compte de clients prestigieux comme L’AGEFI, BlackRock, The Economist, l’EDHEC, Le Figaro, le G20 YES, Google, IBM, KPMG ou Le Point… Basé à Paris et fort d’une quarantaine de collaborateurs, DII constitue le pôle Events en Europe du media POLITICO.Rejoindre DII c’est rejoindre des équipes engagées, passionnées par l’actualité économique et les mutations métiers. 
Rejoindre DII, c’est l’assurance de se construire une culture B2B sans égal et de développer son esprit entrepreneurial.DII recherche des candidats avec un sens du business développé pour contribuer à la croissance de l’entreprise.Curiosité, ténacité & créativité sont des qualités essentielles pour réussir dans cet univers passionnant et exigeant.4 mots à retenir : SMART / CURIEUX / EXIGEANT / VISIONNAIREDes bureaux en plein cœur de Paris entre la Gare Saint Lazare et l’Etoile, près du parc MonceauCe qui nous rassemble : Le professionnalismeLe goût du challenge Une grande solidarité au sein des équipesDes moments conviviaux (Cours Florent, Atelier des Chefs, Chateauform…) et toute bonne occasion pour célébrer et fêter les collaborateurs…"
Wiztivi ,"Electronique / Télécommunications, IT / Digital","Nantes, Helsinki, Paris","
      
        
      
    www.wiztivi.com",2007,120,33 ans,"Pionnier de la télévision connectée, Wiztivi figure parmi les leaders européens et mondiaux des interfaces utilisateurs et des services interactifs sur télévisions, mobiles et tablettes. La société compte parmi ses clients des groupes du secteur des télécom comme Vodafone, Altice ou Orange ainsi que des médias comme TF1, M6, ou le groupe Viacom. Avec plus d’une centaine de collaborateurs, Wiztivi se distingue par une expertise technique forte et reconnue rassemblant sous le même toit Studio Design et Développement, offrant ainsi à ses clients une expérience utilisateur unique. La société a ainsi doublé son chiffre d’affaires en seulement 3 ans et ce n’est que le début !Expérimenté(e)s, fraîchement diplômé(e)s ou autodidactes, les candidat(e)s seront positifs, rigoureux et curieux avez une vraie capacité d’engagement et une capacité pour le travail d'équipe.Les candidats trouveront au sein des équipes techniques ou design de Wiztivi un environnement de travail épanouissant, ouvert à l’international et la satisfaction d’effectuer un travail reconnu par nos clients.Vous serez parmi les plus rapidement intégrés si:• vous possédez la patte gauche de Léo Messi, 
• vous maîtrisez 7 Wonders, 
• vous avez créé votre propre réseau social à l’âge de 7 ans sur le minitel de vos parents,
• vous êtes un pro sur Street Fighter 4 ou Fifa 2018."
Quinten,"Big Data, Digital Marketing / Data Marketing, Stratégie",Paris,"
      
        
      
    www.quinten-france.com",2008,60,,"Quinten est une société de conseil spécialisée dans la valorisation stratégique des données.Avec 10 ans d'expérience et plus de 350 projets réussis, dans des secteurs tels que la santé, l'assurance, la banque, l'industrie, la cosmétique et les médias, Quinten est la seule société à disposer d'un tel recul dans cette jeune discipline qu'est la Data Science.Elle apporte ainsi à ses clients une maîtrise peu commune de la mobilisation des données au service de la prise de décision business dans toutes ses dimensions : identification des sujets à forte valeur, faisabilité, développement et intégration dans les processus métiers propres à l'entreprise.Grâce à une capitalisation interne constante et une R&D à la pointe du marché, Quinten trouve les solutions qui font entrer la donnée dans l'amélioration de la performance qu'attendent ses clients.Quinten est partenaire stratégique de la transformation numérique de plusieurs entreprises de premier plan.Dans le cadre de sa forte croissance, Quinten recherche des collaborateurs talentueux, passionnés et créatifs souhaitant participer au développement de l’entreprise.Vous avez l’âme d’un Data Scientist rigoureux et curieux, d’un consultant investi et méthodique, vous rêvez d’être entouré d’une équipe créative et experte, vous êtes convaincu de la valeur que vous pouvez apporter à la société et à ses clients ?Postulez chez Quinten, c'est la garantie de grandir efficacement dans un environnement bienveillant qui répondra à vos attentes.Venir chez Quinten, c'est intégrer la #QuintenFamilyDes events de team building (ex : escape game, soirée jeux, etc...) organisés par notre #TeamEventNe pas avoir peur d'assumer son penchant pour l'écologieDes séminaires enflammés et forts en émotionSi tu as un talent musical, notre groupe se fera un plaisir de t'acceuillirSinon si tu as un côté sportif, tu trouveras ton bonheur aussi parmi nos quinteniensParticiper à la fameuse soirée de fin d'année : la Quinten Night ! "
Hivency,"Application mobile, Média, Publicité",Paris,"
      
        
      
    hivency.com",2016,40,28 ans,"Hivency est une plateforme de shopping gratuit pour micro-influenceurs web. Les marques proposent des produits à offrir et les micro-influenceurs intéressés les obtiennent gratuitement en échange d’un partage sur leurs réseaux sociaux.Leur objectif : aider les marques à développer leur communauté, leur notoriété et leurs ventes via le pouvoir de prescription des micro-influenceurs.Leader européen avec 50 000 micro-influenceurs et une présence dans 136 pays. Accélérés par LVMH, TF1 et Showroomprive.com, ils travaillent avec de nombreuses marques dans les secteurs de la beauté/cosmétique, de la mode et de la food.Hivency recherche des collaborateurs ambitieux et passionnés, qui souhaitent vivre une aventure startup, dans laquelle chacun a son rôle à jouer.
L'envie d'apprendre et le dépassement de soi fait partie de leur ADN.Ils souhaitent recruter des profils techniques pour développer les fonctionnalités de la plateforme, ainsi que des profils commerciaux, pour s'étendre à l'international.Si tu aimes les pains au chocolat, les bonbons, le miel et les licornes, rejoins-nous !"
Samson sur Mesure,"Luxe, Mode",Paris,"
      
        
      
    samson-costume-sur-mesure.com",1999,14,30 ans,"Dépoussiérer l’image du tailleur pour l’inscrire dans la modernité, tel est le défi que Sophie Samson et Stéphan Ricard se sont lancés, dès 1999. Précurseur de l'élégance masculine sur mesure, Samson compte aujourd’hui 6 boutiques à Paris, Lyon et Bordeaux, Samson a choisi de maîtriser entièrement la coupe et la chaîne de fabrication de ses costumes et chemises sur mesure afin d’offrir un rapport qualité/prix inégalé, pour un produit 100% européen.Chez Samson, ils recherchent des profils associant sens commercial et idéalement, compétences techniques liées à la prise de mesure.L'envie de prendre en charge un véritable centre de profit et le gout pour la mode et le luxe sont des atouts indispensables. Chaque client doit recevoir un conseil personnalisé de qualité, grâce à une excellente qualité d'écoute.Trouver qu'un homme n'est jamais aussi beau qu'en costume !Aimer briser et détourner les codes.Être à l'affut des tendances."
Dronisos,Objets connectés,Bègles,"
      
        
      
    www.dronisos.com",2016,16,33 ans,"Créée en 2016, Dronisos est une start-up leader dans les spectacles de drones. Nous proposons des performances mêlant drones autonomes et artistes, drones lumineux et musique. Nous avons déjà réalisé plus de 10 000 shows aux quatre coins du monde.Plus largement, Dronisos transforme l’utilisation des drones en un service complet, pour le monde du divertissement donc, mais aussi pour de l'inspection d'infrastructures.Dronisos recherche des profils très variés :Des profils tech qu'ils soient ingénieurs software, hardware, électroniques ou mécaniquesDes créatifs pour créer et sublimer la technologie en performances artistiques qui font vibrer les foulesTous doivent être intéressés, curieux et excités par la technologie en général, et les drones en particulier.Ils doivent être agiles et capables de s’acclimater à n’importe quel univers et interlocuteur, nos clients étant internationaux et venant d’horizons très variés.Toujours positifs, ils sont capables de rebondir dans n’importe laquelle des situations en préservant l'intérêt du projet et de l'entreprise.Déjeuner d’équipe dans le meilleur restaurant du quartierOpen bidouillage dans notre atelier (imprimantes 3D, fers à souder, ….) Chaque réussite est fêtée comme elle se doit"
FABERNOVEL INNOVATE,"Digital, Stratégie","Paris, Monte Estoril, San Francisco, Toulouse","
      
        
      
    innovate.fabernovel.com",2003,46,29 ans,"FABERNOVEL INNOVATE distribue le futur!Entité d’innovation et de design du groupe FABERNOVEL, FABERNOVEL INNOVATE est une entreprise d’un nouveau type dédiée à penser et à saisir les opportunités de l’ère digitale.    Son équipe multidisciplinaire est composée de designers, de business analysts et d’ingénieurs qui accompagnent startups et grands groupes dans leurs trajectoires d’innovation.Comment ?Avec une approche toujours centrée utilisateur, ils explorent de nouveaux business models, redessinent leurs expériences ou optimisent l’usage de leurs données afin d’améliorer leurs services existants ou développer de nouvelles offres. FABERNOVEL INNOVATE réunit des esprits créatifs et ingénieux avec la conviction que la diversité des profils est le meilleur moteur de l’innovation. Avec l’agilité et l’audace propre aux entrepreneurs, les équipes se forment en réunissant différents métiers pour répondre à chaque nouveau projet avec pertinence et conviction.Des rôles et des métiers différents. Mais une passion commune pour les enjeux de la transformation numérique et une culture partagée du “test&learn”, de la confiance et de la solidarité.Notre candidat idéal ?Curieux, technophile, ouvert d’esprit et entrepreneur !On apprend avec les Faberschool du lundi
On se détend avec le futsal du mardi
On s'inspire avec les Faberdej du jeudi
On partage avec le goûter du vendredi"
Revevol Group,"Big Data, IT / Digital, SaaS / Cloud Services",Paris,"
      
        
      
    www.revevol.com",2007,180,30 ans,"Revevol est née en 2007 sur le pari que le cloud - alors encore mystérieux - allait révolutionner le monde de l’entreprise et qu’elle pourrait accompagner les entreprises dans cette transformation. Tout a commencé par un premier partenariat avec Google. Dix ans plus tard, le cloud est partout. Revevol est aussi devenue partenaire privilégiée de Microsoft et Facebook, avec une présence en France, aux Etats-Unis, en Italie, et en Angleterre. Grâce aux retours d’expérience sur l’accompagnement de clients tels que Solvay, Air Liquide, Valeo, LafargeHolcim, les équipes Revevol ont développé des produits, dont le plus connu à ce jour est AODocs. Bâtie sur plus de dix ans d’expérience, la vision de Revevol du cloud d’entreprise s’articule autour des plateformes partenaires et de ses produits, et permet à ses clients de réellement se transformer.Chez Revevol, ils recherchent des candidats qui veulent se dépasser, se créer leur job et leurs objectifs; n’ont pas peur de tuer leur job pour en prendre un nouveau, de se lancer dans l’inconnu; qui font preuve d’initiative et d’esprit d’équipe. Les candidats doivent être tournés vers l’action, vers le concret, avoir une idée précise de ce qu’ils voudraient faire s’ils arrivaient chez Revevol demain matin.Points bonus pour la maîtrise de la communication écrite et orale, en français comme en anglais, et le souci du détail.Des fruits, du café et des petits déjeuners, les moments conviviaux dans la cuisine sont importants. Et sinon nous organisons des soirées, apéros et événements tout au long de l’année. "
